text,label,label_name
"Class registration opens next Monday, and all instructions are posted on the university website.",0,legitimate
Payment failed for your streaming subscription. Verify card details now to avoid cancellation.,1,phishing
The finance office approved your travel reimbursement and the payment will be processed this week.,0,legitimate
Your password was changed successfully through the official portal you used earlier today.,0,legitimate
New voice message received. Play it by signing in to your email account here.,1,phishing
Action needed: update your direct deposit details through our secure employee portal link.,1,phishing
Thank you for attending the webinar. The recording link is available in your learner dashboard.,0,legitimate
Final warning: invoice overdue. Download the attached copy and complete payment immediately.,1,phishing
Please join the Zoom meeting using the official link already shared in the calendar invitation.,0,legitimate
"Dear valued customer, verify your account to receive an important security compensation.",1,phishing
The committee has accepted your abstract for oral presentation in the second session.,0,legitimate
"Here is the agenda for tomorrow's client workshop, including session times and discussion topics.",0,legitimate
Company survey reward available. Submit your password to claim the gift voucher.,1,phishing
The registrar's office received your transcript request and is preparing the document.,0,legitimate
Notice from administration: failure to confirm your account will result in permanent deletion.,1,phishing
Attached is the final exam timetable approved by the department committee.,0,legitimate
The warehouse confirmed that your materials are ready for collection from the main gate.,0,legitimate
The library will close at 6 PM on Thursday because of scheduled maintenance.,0,legitimate
We appreciate your feedback on the recent training session and will use it to improve the program.,0,legitimate
Your e-signature is needed on a confidential document. Access it with your email password.,1,phishing
Your mailbox storage is full. Confirm your password immediately to keep receiving emails.,1,phishing
Thank you for renewing your contract. A copy is stored in your account documents section.,0,legitimate
Please review the draft proposal and send comments by Wednesday afternoon.,0,legitimate
Customs duty is due on your shipment. Pay now using the secure payment portal.,1,phishing
Banking alert: unauthorized transfer attempt detected. Review and cancel it immediately here.,1,phishing
This receipt confirms payment for your software subscription through our billing system.,0,legitimate
Click here to review the HR policy update and sign in with your work credentials.,1,phishing
Update your VPN profile now to maintain remote access privileges for your department.,1,phishing
Your electricity bill for March has been issued and can be viewed in the customer portal.,0,legitimate
Your two-factor authentication is active and no further setup is required.,0,legitimate
Your order has shipped and can be tracked from the account page in the official store app.,0,legitimate
This email confirms that your leave request from May 5 to May 8 has been approved.,0,legitimate
Team meeting moved to 10:30 AM tomorrow in Conference Room B. Please bring the budget notes.,0,legitimate
We noticed suspicious activity on your bank profile. Validate your account information here.,1,phishing
The supplier confirmed delivery for Tuesday morning and will call before arrival.,0,legitimate
"Dear user, we detected unusual login activity. Sign in here now to protect your account.",1,phishing
An encrypted document has been shared with you. Open it and enter your email password.,1,phishing
Please review the attached remittance advice and enable content to display payment details.,1,phishing
"Restricted message received. To read it, sign in with your corporate email password.",1,phishing
Your monthly bank statement is available in the official mobile app and web dashboard.,0,legitimate
Your benefits enrollment is incomplete. Log in using the attached link before 5 PM.,1,phishing
Payroll update required. Open the attached form and enter your employee credentials today.,1,phishing
Security notice: your password expires today. Reset it through this link before midnight.,1,phishing
The IT department will perform maintenance this weekend. Some internal systems may be temporarily unavailable.,0,legitimate
Our records show that your membership renews automatically next month using your saved preference.,0,legitimate
IT helpdesk alert: re-authenticate your email account to stop incoming mail from bouncing.,1,phishing
Your profile photo was updated successfully in the employee self-service portal.,0,legitimate
The finance team needs your urgent approval. Open the invoice and confirm your login.,1,phishing
We have updated the policy handbook. Read it when convenient on the staff intranet.,0,legitimate
"The monthly newsletter is now available with updates, events, and recent achievements.",0,legitimate
Claim your tax refund by confirming your national ID and banking information online.,1,phishing
We have received your support request and assigned ticket number 48321 for follow-up.,0,legitimate
Urgent: verify your account now by clicking the secure link below to avoid suspension.,1,phishing
The doctor's office confirmed your appointment for Monday at 11:00 AM.,0,legitimate
Your package has arrived at the local branch and is ready for pickup with ID.,0,legitimate
Your online account will be terminated today unless you confirm ownership immediately.,1,phishing
We are pleased to invite you to the annual research symposium on Thursday evening.,0,legitimate
Facilities management will inspect the building alarm system tomorrow morning.,0,legitimate
Multi-factor authentication reset request received. Approve it by logging in to the panel.,1,phishing
Warning: anti-spam filter blocked your messages. Review settings by authenticating now.,1,phishing
Reminder: submit your project presentation slides before Friday noon through the course portal.,0,legitimate
Thank you for your application. Our recruitment team will review your CV and contact you next week.,0,legitimate
Please find attached the signed contract copy for your records. No action is required today.,0,legitimate
Important! We failed to process your payment. Re-enter your details through this secure page.,1,phishing
The lab will remain open until 8 PM during the examination period.,0,legitimate
The maintenance team completed the requested repair and closed your service ticket.,0,legitimate
Immediate action required: scan the attached file and enable macros to view the invoice.,1,phishing
Confirm your Amazon order issue and submit your card number for refund processing.,1,phishing
Please see the meeting minutes from yesterday and the actions assigned to each team member.,0,legitimate
Your training certificate is ready to download from the official learning platform.,0,legitimate
Congratulations! You won a cash prize. Submit your bank details to receive the transfer.,1,phishing
Our team has uploaded the revised report to the shared drive for your review.,0,legitimate
Your account has been locked. Upload your identity documents to restore access quickly.,1,phishing
The seminar room has changed from Hall 2 to Hall 4 due to capacity limits.,0,legitimate
Office 365 notification: your session expired. Log in again through the validation page.,1,phishing
Your cloud drive is over quota. Increase storage by signing into this verification form.,1,phishing
Your domain registration is about to expire. Renew it today through the admin payment form.,1,phishing
Your scholarship payment is pending. Validate your student portal credentials to release funds.,1,phishing
An unusual payment attempt was made. Confirm your online banking login to stop it.,1,phishing
Your package delivery failed. Pay the redelivery fee today using the following payment link.,1,phishing
Confirm your Apple ID details within 24 hours or your device backup will be disabled.,1,phishing
